Mot	CompteLocal	CompteGlobal	Différence	Lafon
能力	108	156	-48	0.8792
越	54	78	-24	0.8792
承认	54	78	-24	0.8792
维护	54	78	-24	0.8792
体现	54	78	-24	0.8792
极	54	78	-24	0.8792
止	18	26	-8	0.8792
讲	18	26	-8	0.8792
請見「	18	26	-8	0.8792
根據	9	13	-4	0.8792
行为	36	52	-16	0.8792
揭示	18	26	-8	0.8792
關係	9	13	-4	0.8792
意見	9	13	-4	0.8792
派	18	26	-8	0.8792
激烈	9	13	-4	0.8792
19世紀	36	52	-16	0.8792
效率	18	26	-8	0.8792
依赖	18	26	-8	0.8792
positiveliberty	18	26	-8	0.8792
持	18	26	-8	0.8792
服务	18	26	-8	0.8792
消极	382	552	-170	0.8789
大	110	159	-49	0.8786
去	74	107	-33	0.8783
主張	170	246	-76	0.8776
追求	152	220	-68	0.8774
里	38	55	-17	0.8774
否	172	249	-77	0.8773
两	134	194	-60	0.8772
相信	116	168	-52	0.8769
一个	174	252	-78	0.8769
，	6419	9300	-2881	0.8766
积极	450	652	-202	0.8765
社会	200	290	-90	0.8758
对于	140	203	-63	0.8758
令	20	29	-9	0.8758
里面	20	29	-9	0.8758
非	40	58	-18	0.8758
那样	20	29	-9	0.8758
社團	20	29	-9	0.8758
國間	20	29	-9	0.8758
部分	20	29	-9	0.8758
一切	60	87	-27	0.8758
同时	20	29	-9	0.8758
民主制	80	116	-36	0.8758
特定	20	29	-9	0.8758
等等	20	29	-9	0.8758
或	140	203	-63	0.8758
受	120	174	-54	0.8758
相當	20	29	-9	0.8758
内容	40	58	-18	0.8758
广泛	20	29	-9	0.8758
心境	20	29	-9	0.8758
地方	20	29	-9	0.8758
所有	71	103	-32	0.8754
才	204	296	-92	0.8753
詞	62	90	-28	0.8749
成为	62	90	-28	0.8749
又	62	90	-28	0.8749
消極	62	90	-28	0.8749
甚至	62	90	-28	0.8749
概念	438	636	-198	0.8746
以	422	613	-191	0.8743
实现	212	308	-96	0.8741
主	64	93	-29	0.8740
也	520	756	-236	0.8735
就	434	631	-197	0.8735
会	132	192	-60	0.8731
他	470	684	-214	0.8726
他人	90	131	-41	0.8725
影響	68	99	-31	0.8723
中	522	760	-238	0.8723
平等	182	265	-83	0.8722
等	160	233	-73	0.8721
必然	70	102	-32	0.8715
包含	70	102	-32	0.8715
形式	105	153	-48	0.8715
相对	48	70	-22	0.8708
侵犯	48	70	-22	0.8708
的	9493	13848	-4355	0.8706
这种	194	283	-89	0.8706
是	2780	4056	-1276	0.8704
到	122	178	-56	0.8704
行动	244	356	-112	0.8704
反對	98	143	-45	0.8703
于	226	330	-104	0.8697
政治	371	542	-171	0.8693
自律	26	38	-12	0.8689
观点	26	38	-12	0.8689
基础	78	114	-36	0.8689
社	26	38	-12	0.8689
意志主义	52	76	-24	0.8689
原	78	114	-36	0.8689
值	78	114	-36	0.8689
一直	26	38	-12	0.8689
：	689	1007	-318	0.8689
原則	54	79	-25	0.8681
干涉	82	120	-38	0.8678
第一	82	120	-38	0.8678
能	274	401	-127	0.8678
通常	166	243	-77	0.8676
都	278	407	-129	0.8675
冯契	28	41	-13	0.8673
過	28	41	-13	0.8673
梁启超	28	41	-13	0.8673
含义	112	164	-52	0.8673
认识	28	41	-13	0.8673
充分	28	41	-13	0.8673
作品	28	41	-13	0.8673
丹尼特	28	41	-13	0.8673
自由市場	28	41	-13	0.8673
分歧	28	41	-13	0.8673
处境性	28	41	-13	0.8673
论证	28	41	-13	0.8673
控制	28	41	-13	0.8673
主義	2214	3243	-1029	0.8670
“	1512	2215	-703	0.8669
支持者	86	126	-40	0.8668
市场经济	86	126	-40	0.8668
權利	116	170	-54	0.8666
真正	88	129	-41	0.8663
意志	1926	2824	-898	0.8661
保護	45	66	-21	0.8659
和	1363	2000	-637	0.8655
对	400	587	-187	0.8654
意味着	154	226	-72	0.8654
被	310	455	-145	0.8653
國	94	138	-44	0.8651
提出	94	138	-44	0.8651
強調	126	185	-59	0.8650
作用	32	47	-15	0.8647
它	64	94	-30	0.8647
”	1452	2134	-682	0.8641
但	166	244	-78	0.8640
人	934	1373	-439	0.8639
之间	68	100	-32	0.8636
竞争	34	50	-16	0.8636
極權	34	50	-16	0.8636
保守	17	25	-8	0.8636
定論	34	50	-16	0.8636
市场	136	200	-64	0.8636
社會	272	400	-128	0.8636
對	204	300	-96	0.8636
则	204	300	-96	0.8636
支持	206	303	-97	0.8634
造成	36	53	-17	0.8626
网络	36	53	-17	0.8626
平衡	36	53	-17	0.8626
法	36	53	-17	0.8626
起	36	53	-17	0.8626
按照	36	53	-17	0.8626
種	110	162	-52	0.8623
指	110	162	-52	0.8623
人们	110	162	-52	0.8623
不	1364	2009	-645	0.8622
道德	222	327	-105	0.8622
哲學	38	56	-18	0.8618
强调	114	168	-54	0.8618
公民	162	239	-77	0.8608
主義者	835	1232	-397	0.8607
种	410	605	-195	0.8606
意义	164	242	-78	0.8606
人格	42	62	-20	0.8603
指向	42	62	-20	0.8603
解放	42	62	-20	0.8603
第三	42	62	-20	0.8603
认为	214	316	-102	0.8600
中国	86	127	-41	0.8600
其他	86	127	-41	0.8600
更	130	192	-62	0.8599
古代人	44	65	-21	0.8597
国	44	65	-21	0.8597
價值	44	65	-21	0.8597
代表	44	65	-21	0.8597
论者	44	65	-21	0.8597
·	360	532	-172	0.8594
指出	46	68	-22	0.8591
已	46	68	-22	0.8591
個人	294	435	-141	0.8583
政策	98	145	-47	0.8583
「	100	148	-48	0.8581
绝对	50	74	-24	0.8581
提供	25	37	-12	0.8581
所	202	299	-97	0.8580
言论	258	382	-124	0.8577
必要	52	77	-25	0.8576
一些	183	271	-88	0.8576
把	210	311	-101	0.8575
并	158	234	-76	0.8575
同	216	320	-104	0.8572
说	338	501	-163	0.8568
与	852	1263	-411	0.8567
如	116	172	-56	0.8565
过	60	89	-29	0.8562
意识	60	89	-29	0.8562
或者	60	89	-29	0.8562
…	60	89	-29	0.8562
來	66	98	-32	0.8553
出	66	98	-32	0.8553
来	398	591	-193	0.8552
看	68	101	-33	0.8550
我们	142	211	-69	0.8547
便是	74	110	-36	0.8543
定義	74	110	-36	0.8543
行動	76	113	-37	0.8541
保持	76	113	-37	0.8541
获得	90	134	-44	0.8530
相容	92	137	-45	0.8528
其	96	143	-47	0.8526
包括	98	146	-48	0.8524
做	98	146	-48	0.8524
人类	100	149	-49	0.8523
可以	204	304	-100	0.8522
以及	106	158	-52	0.8520
歐洲	108	161	-53	0.8519
理解	108	161	-53	0.8519
哲学	218	325	-107	0.8519
作為	57	85	-28	0.8516
心灵	116	173	-57	0.8515
价	116	173	-57	0.8515
上	614	916	-302	0.8513
发展	126	188	-62	0.8512
思考	130	194	-64	0.8510
从	156	233	-77	0.8503
最	162	242	-80	0.8501
特别	24	36	-12	0.8466
引导	24	36	-12	0.8466
尊重	40	60	-20	0.8466
排斥	40	60	-20	0.8466
称为	24	36	-12	0.8466
具有	56	84	-28	0.8466
希望	40	60	-20	0.8466
意識	26	39	-13	0.8466
很多	24	36	-12	0.8466
後	24	36	-12	0.8466
事	24	36	-12	0.8466
理論	40	60	-20	0.8466
爭取	24	36	-12	0.8466
爭論	24	36	-12	0.8466
争论	24	36	-12	0.8466
意志論者	24	36	-12	0.8466
尤其	56	84	-28	0.8466
这样	24	36	-12	0.8466
从而	56	84	-28	0.8466
回答	24	36	-12	0.8466
你	50	75	-25	0.8466
為人	24	36	-12	0.8466
直到	24	36	-12	0.8466
早	48	72	-24	0.8466
解釋	24	36	-12	0.8466
英語	24	36	-12	0.8466
意味	40	60	-20	0.8466
主张	40	60	-20	0.8466
认同	24	36	-12	0.8466
〈	80	120	-40	0.8466
統	24	36	-12	0.8466
源於	24	36	-12	0.8466
说是	48	72	-24	0.8466
本身	24	36	-12	0.8466
活动	24	36	-12	0.8466
中央	24	36	-12	0.8466
开始	40	60	-20	0.8466
备份	24	36	-12	0.8466
今天	24	36	-12	0.8466
人人	40	60	-20	0.8466
有所	24	36	-12	0.8466
壓迫	24	36	-12	0.8466
領導	24	36	-12	0.8466
運用	10	15	-5	0.8466
受众	24	36	-12	0.8466
且	24	36	-12	0.8466
次	24	36	-12	0.8466
只是	48	72	-24	0.8466
文化	110	165	-55	0.8466
保护主义	24	36	-12	0.8466
进一步	24	36	-12	0.8466
应	24	36	-12	0.8466
阻碍	24	36	-12	0.8466
保守主义	24	36	-12	0.8466
共同	40	60	-20	0.8466
意志论者	24	36	-12	0.8466
liberal	24	36	-12	0.8466
缺乏	48	72	-24	0.8466
有些	48	72	-24	0.8466
真善美	24	36	-12	0.8466
時期	24	36	-12	0.8466
只要	40	60	-20	0.8466
同時	24	36	-12	0.8466
展开	24	36	-12	0.8466
為	96	144	-48	0.8466
Freedom	40	60	-20	0.8466
边界	24	36	-12	0.8466
统一	24	36	-12	0.8466
提倡	24	36	-12	0.8466
集權	24	36	-12	0.8466
因素	24	36	-12	0.8466
根本	24	36	-12	0.8466
思潮	40	60	-20	0.8466
間	24	36	-12	0.8466
发表	24	36	-12	0.8466
有时	24	36	-12	0.8466
替	24	36	-12	0.8466
從	24	36	-12	0.8466
某种	10	15	-5	0.8466
当代	24	36	-12	0.8466
自身	48	72	-24	0.8466
於	40	60	-20	0.8466
变	24	36	-12	0.8466
构建	40	60	-20	0.8466
承担	40	60	-20	0.8466
贸易	272	408	-136	0.8466
完善	24	36	-12	0.8466
注重	24	36	-12	0.8466
过于	24	36	-12	0.8466
類	24	36	-12	0.8466
強調個人	24	36	-12	0.8466
脱离	24	36	-12	0.8466
扩张	24	36	-12	0.8466
常	24	36	-12	0.8466
精神	40	60	-20	0.8466
生	24	36	-12	0.8466
智慧	24	36	-12	0.8466
多元	24	36	-12	0.8466
趋于	24	36	-12	0.8466
基于	24	36	-12	0.8466
东西	24	36	-12	0.8466
带	24	36	-12	0.8466
个体	40	60	-20	0.8466
导致	24	36	-12	0.8466
世界性	24	36	-12	0.8466
致	24	36	-12	0.8466
說	24	36	-12	0.8466
如何	24	36	-12	0.8466
中立性	24	36	-12	0.8466
按	24	36	-12	0.8466
创作	24	36	-12	0.8466
无论是	24	36	-12	0.8466
使得	24	36	-12	0.8466
广义	24	36	-12	0.8466
世紀	48	72	-24	0.8466
│	56	84	-28	0.8466
影响	24	36	-12	0.8466
存檔	24	36	-12	0.8466
极端	24	36	-12	0.8466
屬於	24	36	-12	0.8466
稱為	56	84	-28	0.8466
積極	56	84	-28	0.8466
相同	24	36	-12	0.8466
福利	24	36	-12	0.8466
之内	24	36	-12	0.8466
英文	48	72	-24	0.8466
撰文	24	36	-12	0.8466
决定论	136	204	-68	0.8466
論認	24	36	-12	0.8466
明显	24	36	-12	0.8466
本质	48	72	-24	0.8466
自由化	10	15	-5	0.8466
偏右	24	36	-12	0.8466
生效	12	18	-6	0.8466
主动	24	36	-12	0.8466
人生	56	84	-28	0.8466
争取	24	36	-12	0.8466
就是	96	144	-48	0.8466
中间	24	36	-12	0.8466
試圖	24	36	-12	0.8466
根	40	60	-20	0.8466
鬥爭	48	72	-24	0.8466
liberalism	24	36	-12	0.8466
negativeliberty	24	36	-12	0.8466
放任主义	56	84	-28	0.8466
主体	40	60	-20	0.8466
現代	96	144	-48	0.8466
进行	40	60	-20	0.8466
实质	24	36	-12	0.8466
构成	24	36	-12	0.8466
全球	24	36	-12	0.8466
敌人	48	72	-24	0.8466
四	56	84	-28	0.8466
美國	40	60	-20	0.8466
视为	56	84	-28	0.8466
將	24	36	-12	0.8466
同等	40	60	-20	0.8466
恐懼	24	36	-12	0.8466
开放	24	36	-12	0.8466
戰後	24	36	-12	0.8466
;	40	60	-20	0.8466
/	56	84	-28	0.8466
一样	24	36	-12	0.8466
與人	24	36	-12	0.8466
Giovanni	8	12	-4	0.8466
引	16	24	-8	0.8466
违背	16	24	-8	0.8466
算是	32	48	-16	0.8466
環	8	12	-4	0.8466
使用	32	48	-16	0.8466
加	8	12	-4	0.8466
立即	8	12	-4	0.8466
神	8	12	-4	0.8466
進步	32	48	-16	0.8466
爱好	8	12	-4	0.8466
叙述	8	12	-4	0.8466
操纵	8	12	-4	0.8466
发布者	16	24	-8	0.8466
搜索引擎	8	12	-4	0.8466
形态	16	24	-8	0.8466
共建	8	12	-4	0.8466
時	16	24	-8	0.8466
斯宾塞	8	12	-4	0.8466
產資料	8	12	-4	0.8466
障碍	8	12	-4	0.8466
寸步东西	8	12	-4	0.8466
──從	8	12	-4	0.8466
牛津英语词典	8	12	-4	0.8466
战争	8	12	-4	0.8466
紧密	16	24	-8	0.8466
否则	16	24	-8	0.8466
各种	8	12	-4	0.8466
规定	8	12	-4	0.8466
恰恰相反	8	12	-4	0.8466
高度	8	12	-4	0.8466
主观	8	12	-4	0.8466
奋斗	8	12	-4	0.8466
缺失	16	24	-8	0.8466
绝非	8	12	-4	0.8466
各人	16	24	-8	0.8466
製漢語	16	24	-8	0.8466
意大利	8	12	-4	0.8466
件	8	12	-4	0.8466
自由之間	8	12	-4	0.8466
历	8	12	-4	0.8466
义务	8	12	-4	0.8466
演变	8	12	-4	0.8466
私有制	8	12	-4	0.8466
宽容	8	12	-4	0.8466
開始與	16	24	-8	0.8466
其目	8	12	-4	0.8466
有鉴于此	8	12	-4	0.8466
內部	32	48	-16	0.8466
法规	8	12	-4	0.8466
发现	32	48	-16	0.8466
與經	16	24	-8	0.8466
Spinoza	16	24	-8	0.8466
斗争	32	48	-16	0.8466
飞翔	8	12	-4	0.8466
言论是	8	12	-4	0.8466
商定	8	12	-4	0.8466
抗戰	8	12	-4	0.8466
学者	16	24	-8	0.8466
病兆	8	12	-4	0.8466
之下	16	24	-8	0.8466
瞭解	8	12	-4	0.8466
能够	88	132	-44	0.8466
行善	32	48	-16	0.8466
天主教徒	8	12	-4	0.8466
反對將	16	24	-8	0.8466
诉诸	8	12	-4	0.8466
激进	16	24	-8	0.8466
極端	16	24	-8	0.8466
庸俗	8	12	-4	0.8466
會民主	8	12	-4	0.8466
学习	8	12	-4	0.8466
立法	8	12	-4	0.8466
礼之用	8	12	-4	0.8466
實際	8	12	-4	0.8466
選擇	32	48	-16	0.8466
答	8	12	-4	0.8466
即便	16	24	-8	0.8466
猶太哲	8	12	-4	0.8466
並	72	108	-36	0.8466
文艺复兴	8	12	-4	0.8466
真理	8	12	-4	0.8466
實則	8	12	-4	0.8466
定理	16	24	-8	0.8466
十分	8	12	-4	0.8466
个性	16	24	-8	0.8466
協定	8	12	-4	0.8466
林	8	12	-4	0.8466
堡壘	8	12	-4	0.8466
分开	16	24	-8	0.8466
视	8	12	-4	0.8466
结合	8	12	-4	0.8466
神圣	8	12	-4	0.8466
from	16	24	-8	0.8466
故意	8	12	-4	0.8466
一步步	8	12	-4	0.8466
区	8	12	-4	0.8466
规范	8	12	-4	0.8466
歧视	8	12	-4	0.8466
最后	8	12	-4	0.8466
出版社	8	12	-4	0.8466
持续	8	12	-4	0.8466
书	8	12	-4	0.8466
目地	8	12	-4	0.8466
私營	8	12	-4	0.8466
言除	8	12	-4	0.8466
僅	8	12	-4	0.8466
听	8	12	-4	0.8466
精髓	8	12	-4	0.8466
合作机	8	12	-4	0.8466
谜	8	12	-4	0.8466
義戰	16	24	-8	0.8466
主權	8	12	-4	0.8466
胡	8	12	-4	0.8466
引典	16	24	-8	0.8466
难能可贵	8	12	-4	0.8466
蔑視	8	12	-4	0.8466
量子力学	8	12	-4	0.8466
那种	8	12	-4	0.8466
珍视	8	12	-4	0.8466
路	8	12	-4	0.8466
如此	8	12	-4	0.8466
目光	8	12	-4	0.8466
共	8	12	-4	0.8466
則傾	32	48	-16	0.8466
生杀	8	12	-4	0.8466
最初	16	24	-8	0.8466
工商	8	12	-4	0.8466
消解	16	24	-8	0.8466
中國社	8	12	-4	0.8466
吝啬	8	12	-4	0.8466
生前	8	12	-4	0.8466
那里	8	12	-4	0.8466
却	72	108	-36	0.8466
像	18	27	-9	0.8466
若	16	24	-8	0.8466
制	8	12	-4	0.8466
請願	8	12	-4	0.8466
动植物	8	12	-4	0.8466
变色	8	12	-4	0.8466
義大利	8	12	-4	0.8466
Right	8	12	-4	0.8466
利用	16	24	-8	0.8466
動機	8	12	-4	0.8466
组织部分	8	12	-4	0.8466
给予	16	24	-8	0.8466
交往	8	12	-4	0.8466
厘清	8	12	-4	0.8466
批判	16	24	-8	0.8466
重申	16	24	-8	0.8466
自由意	8	12	-4	0.8466
政體	16	24	-8	0.8466
達成	16	24	-8	0.8466
理论主义	8	12	-4	0.8466
谁	16	24	-8	0.8466
約翰	8	12	-4	0.8466
低	8	12	-4	0.8466
赫伯特	8	12	-4	0.8466
前述	16	24	-8	0.8466
预知	8	12	-4	0.8466
混亂	8	12	-4	0.8466
尊	16	24	-8	0.8466
健康	8	12	-4	0.8466
歐美	8	12	-4	0.8466
強調代	8	12	-4	0.8466
護個人	16	24	-8	0.8466
時法國	8	12	-4	0.8466
回擺	8	12	-4	0.8466
空间	16	24	-8	0.8466
许可	8	12	-4	0.8466
衝動	8	12	-4	0.8466
忽视	8	12	-4	0.8466
全部	16	24	-8	0.8466
自俜	8	12	-4	0.8466
好像	8	12	-4	0.8466
説明國	8	12	-4	0.8466
拉丁文	8	12	-4	0.8466
定決	8	12	-4	0.8466
須	8	12	-4	0.8466
恰恰	8	12	-4	0.8466
崛起	8	12	-4	0.8466
暗示	8	12	-4	0.8466
涨落	8	12	-4	0.8466
推进	8	12	-4	0.8466
综观	8	12	-4	0.8466
一旦	8	12	-4	0.8466
權期	8	12	-4	0.8466
層面	8	12	-4	0.8466
现实性	16	24	-8	0.8466
出現	16	24	-8	0.8466
等同	8	12	-4	0.8466
2個	8	12	-4	0.8466
章	8	12	-4	0.8466
断定	16	24	-8	0.8466
灵魂	16	24	-8	0.8466
孤独	8	12	-4	0.8466
主義內	8	12	-4	0.8466
首	8	12	-4	0.8466
均等	16	24	-8	0.8466
反建制	8	12	-4	0.8466
道义	8	12	-4	0.8466
放任	16	24	-8	0.8466
与其说	16	24	-8	0.8466
可言	8	12	-4	0.8466
行恶	8	12	-4	0.8466
後者	8	12	-4	0.8466
这些	32	48	-16	0.8466
教徒	8	12	-4	0.8466
价格	8	12	-4	0.8466
們情	8	12	-4	0.8466
各国	8	12	-4	0.8466
时间性	16	24	-8	0.8466
企業	16	24	-8	0.8466
怎樣	8	12	-4	0.8466
民主党人	8	12	-4	0.8466
压制	8	12	-4	0.8466
巧妙	8	12	-4	0.8466
阶级	8	12	-4	0.8466
明德	8	12	-4	0.8466
|	16	24	-8	0.8466
决心	8	12	-4	0.8466
己	8	12	-4	0.8466
滿	8	12	-4	0.8466
基本上	8	12	-4	0.8466
一致	8	12	-4	0.8466
John	8	12	-4	0.8466
基於	16	24	-8	0.8466
最为	8	12	-4	0.8466
財產	16	24	-8	0.8466
适中	8	12	-4	0.8466
種目	8	12	-4	0.8466
意志論	8	12	-4	0.8466
基本概	8	12	-4	0.8466
話	8	12	-4	0.8466
良心	8	12	-4	0.8466
兼容并包	8	12	-4	0.8466
产业	16	24	-8	0.8466
狼群	8	12	-4	0.8466
买方	8	12	-4	0.8466
或许	8	12	-4	0.8466
夫妻	8	12	-4	0.8466
菜场	16	24	-8	0.8466
開始從	8	12	-4	0.8466
個片	8	12	-4	0.8466
美國人	8	12	-4	0.8466
黃克武	8	12	-4	0.8466
採取	8	12	-4	0.8466
顆	8	12	-4	0.8466
得	72	108	-36	0.8466
間開	8	12	-4	0.8466
黨變	8	12	-4	0.8466
答案	8	12	-4	0.8466
张力	8	12	-4	0.8466
直接	8	12	-4	0.8466
牛津英語詞典	8	12	-4	0.8466
德	8	12	-4	0.8466
抵触	8	12	-4	0.8466
表明	16	24	-8	0.8466
规	16	24	-8	0.8466
恢复	16	24	-8	0.8466
政治经济学	16	24	-8	0.8466
許將	8	12	-4	0.8466
...的	16	24	-8	0.8466
进而	16	24	-8	0.8466
Berkowitz	8	12	-4	0.8466
诽谤	8	12	-4	0.8466
們還	8	12	-4	0.8466
闡述	8	12	-4	0.8466
自由權	8	12	-4	0.8466
声称	16	24	-8	0.8466
論者	16	24	-8	0.8466
对立	16	24	-8	0.8466
案例	8	12	-4	0.8466
得到	16	24	-8	0.8466
國對	8	12	-4	0.8466
幾乎	8	12	-4	0.8466
形容	16	24	-8	0.8466
專制	16	24	-8	0.8466
它们	16	24	-8	0.8466
人類	8	12	-4	0.8466
比如	8	12	-4	0.8466
时间	8	12	-4	0.8466
原本	16	24	-8	0.8466
分別	8	12	-4	0.8466
调整	8	12	-4	0.8466
私有	8	12	-4	0.8466
尊崇	8	12	-4	0.8466
质言之	8	12	-4	0.8466
托马斯	8	12	-4	0.8466
契约	16	24	-8	0.8466
貴族	8	12	-4	0.8466
與建	16	24	-8	0.8466
大学	16	24	-8	0.8466
最高	8	12	-4	0.8466
許會	8	12	-4	0.8466
敘述	8	12	-4	0.8466
形而上學	8	12	-4	0.8466
liberty	36	54	-18	0.8466
诉求	8	12	-4	0.8466
汪榮祖	8	12	-4	0.8466
占有	8	12	-4	0.8466
古文	8	12	-4	0.8466
歷史	36	54	-18	0.8466
追溯	8	12	-4	0.8466
出发	8	12	-4	0.8466
選	8	12	-4	0.8466
魅惑	8	12	-4	0.8466
難	8	12	-4	0.8466
全盤	8	12	-4	0.8466
鲜明	16	24	-8	0.8466
3％	8	12	-4	0.8466
大多数	8	12	-4	0.8466
範	8	12	-4	0.8466
她	8	12	-4	0.8466
絕對	8	12	-4	0.8466
維護	8	12	-4	0.8466
開始產生	8	12	-4	0.8466
分为	8	12	-4	0.8466
悖論	8	12	-4	0.8466
創造力	8	12	-4	0.8466
與責	8	12	-4	0.8466
笑話	8	12	-4	0.8466
勞動	16	24	-8	0.8466
促使	8	12	-4	0.8466
認定	8	12	-4	0.8466
每个	16	24	-8	0.8466
抨擊	8	12	-4	0.8466
利益	8	12	-4	0.8466
有效	16	24	-8	0.8466
於國際	8	12	-4	0.8466
場主	8	12	-4	0.8466
层	8	12	-4	0.8466
必需	16	24	-8	0.8466
获知	8	12	-4	0.8466
欲望	16	24	-8	0.8466
例如	8	12	-4	0.8466
指從	8	12	-4	0.8466
違反	16	24	-8	0.8466
自我实现	8	12	-4	0.8466
命定	16	24	-8	0.8466
格会	16	24	-8	0.8466
保留	8	12	-4	0.8466
终结	8	12	-4	0.8466
名义	8	12	-4	0.8466
末期	16	24	-8	0.8466
易	16	24	-8	0.8466
Voss	8	12	-4	0.8466
强化	8	12	-4	0.8466
建	16	24	-8	0.8466
少數黨	8	12	-4	0.8466
群體	8	12	-4	0.8466
宪法	8	12	-4	0.8466
还原	8	12	-4	0.8466
步	8	12	-4	0.8466
法西斯	8	12	-4	0.8466
矛盾	32	48	-16	0.8466
墮胎	8	12	-4	0.8466
every	8	12	-4	0.8466
將個人	8	12	-4	0.8466
带有	16	24	-8	0.8466
先知	8	12	-4	0.8466
權選	8	12	-4	0.8466
new	16	24	-8	0.8466
預知	8	12	-4	0.8466
霍布斯式	8	12	-4	0.8466
過現代	8	12	-4	0.8466
深厚	8	12	-4	0.8466
当下	16	24	-8	0.8466
上述	16	24	-8	0.8466
復興	8	12	-4	0.8466
汝豈	8	12	-4	0.8466
怎样	8	12	-4	0.8466
一脉相承	8	12	-4	0.8466
依照	8	12	-4	0.8466
各地	8	12	-4	0.8466
公義	8	12	-4	0.8466
加以	8	12	-4	0.8466
及其	8	12	-4	0.8466
化智慧	8	12	-4	0.8466
一贯	8	12	-4	0.8466
中立	16	24	-8	0.8466
财团	8	12	-4	0.8466
谈	16	24	-8	0.8466
期待	8	12	-4	0.8466
所以	32	48	-16	0.8466
拒	8	12	-4	0.8466
部	8	12	-4	0.8466
關心	8	12	-4	0.8466
1704年	8	12	-4	0.8466
绝对值	8	12	-4	0.8466
奴隶	8	12	-4	0.8466
修辭	8	12	-4	0.8466
感恩	16	24	-8	0.8466
延續	8	12	-4	0.8466
引出	8	12	-4	0.8466
詞來	8	12	-4	0.8466
恐惧	32	48	-16	0.8466
」例如	8	12	-4	0.8466
批評	64	96	-32	0.8466
自由民主制	8	12	-4	0.8466
解开	8	12	-4	0.8466
歐	8	12	-4	0.8466
页面	88	132	-44	0.8466
心	8	12	-4	0.8466
麽	8	12	-4	0.8466
並限	8	12	-4	0.8466
并无二致	8	12	-4	0.8466
第四	8	12	-4	0.8466
天马行空	8	12	-4	0.8466
對國際	8	12	-4	0.8466
比较	16	24	-8	0.8466
早就	8	12	-4	0.8466
政黨與	8	12	-4	0.8466
主義與	8	12	-4	0.8466
則難	8	12	-4	0.8466
並保	8	12	-4	0.8466
autonomous	8	12	-4	0.8466
较	8	12	-4	0.8466
語	8	12	-4	0.8466
記名	8	12	-4	0.8466
无助	8	12	-4	0.8466
持有	16	24	-8	0.8466
種選擇	8	12	-4	0.8466
文科	16	24	-8	0.8466
称呼	8	12	-4	0.8466
情况	8	12	-4	0.8466
重点	8	12	-4	0.8466
主義兩者	8	12	-4	0.8466
市	8	12	-4	0.8466
施加	8	12	-4	0.8466
惟	8	12	-4	0.8466
無異	8	12	-4	0.8466
战略	8	12	-4	0.8466
对抗	8	12	-4	0.8466
学	8	12	-4	0.8466
产物	8	12	-4	0.8466
》	120	180	-60	0.8466
脫離	8	12	-4	0.8466
商	8	12	-4	0.8466
絕對值	8	12	-4	0.8466
Libertarianism	8	12	-4	0.8466
套	16	24	-8	0.8466
耶	8	12	-4	0.8466
容許	8	12	-4	0.8466
魅	8	12	-4	0.8466
独特	8	12	-4	0.8466
意志力	16	24	-8	0.8466
無法	8	12	-4	0.8466
总	8	12	-4	0.8466
话语	8	12	-4	0.8466
犹太人	8	12	-4	0.8466
餘地	8	12	-4	0.8466
作「	8	12	-4	0.8466
標	8	12	-4	0.8466
见	8	12	-4	0.8466
这里	8	12	-4	0.8466
就要	8	12	-4	0.8466
议	8	12	-4	0.8466
這方面	8	12	-4	0.8466
全面	64	96	-32	0.8466
①	8	12	-4	0.8466
轉型	8	12	-4	0.8466
信心	8	12	-4	0.8466
會導	8	12	-4	0.8466
少數人	8	12	-4	0.8466
展出	8	12	-4	0.8466
赋权	8	12	-4	0.8466
服从	8	12	-4	0.8466
作恶	16	24	-8	0.8466
满足	8	12	-4	0.8466
現在	8	12	-4	0.8466
成員	8	12	-4	0.8466
納粹	8	12	-4	0.8466
欠缺	8	12	-4	0.8466
企业	8	12	-4	0.8466
title	16	24	-8	0.8466
轉變為	8	12	-4	0.8466
所谓	72	108	-36	0.8466
具	8	12	-4	0.8466
出版	8	12	-4	0.8466
新作	8	12	-4	0.8466
圍與	8	12	-4	0.8466
wikip	32	48	-16	0.8466
神经科学	8	12	-4	0.8466
两难	8	12	-4	0.8466
看作	16	24	-8	0.8466
产品	16	24	-8	0.8466
這使	8	12	-4	0.8466
经典	16	24	-8	0.8466
始與	8	12	-4	0.8466
浪漫主义	8	12	-4	0.8466
主导	8	12	-4	0.8466
·哈耶克	8	12	-4	0.8466
極為	8	12	-4	0.8466
民主教育	8	12	-4	0.8466
尽管	32	48	-16	0.8466
綠色	8	12	-4	0.8466
框架	8	12	-4	0.8466
促進社	8	12	-4	0.8466
恨言論雖	8	12	-4	0.8466
說這	8	12	-4	0.8466
絕	16	24	-8	0.8466
現	8	12	-4	0.8466
信條	8	12	-4	0.8466
二戰後	8	12	-4	0.8466
主觀	8	12	-4	0.8466
以此	8	12	-4	0.8466
針對	8	12	-4	0.8466
快乐	8	12	-4	0.8466
具备	8	12	-4	0.8466
多种	8	12	-4	0.8466
向族	8	12	-4	0.8466
構	8	12	-4	0.8466
抗衡	32	48	-16	0.8466
见到	8	12	-4	0.8466
行使	16	24	-8	0.8466
何存	8	12	-4	0.8466
或是	8	12	-4	0.8466
On	8	12	-4	0.8466
「吾意	8	12	-4	0.8466
譴責	8	12	-4	0.8466
